registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,microchip name,first usage countries,first usage date,right holder on first usage date,expiration date,registration publish date,registration publish number,actual,publication URL
2010630095,20100924,2010630060,20100727,Баринов Илья Николаевич (RU),1,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-32,,,,,20101220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630095
2010630101,20101101,2010630066,20100901,"Пауткин Валерий Евгеньевич (RU)
Акутина Светлана Михайловна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тензорезистивный преобразователь давления - 32,,,,,20110320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630101
2010630106,20101113,2010630068,20100920,"Белозубов Евгений Михайлович (RU)
Белозубова Нина Евгеньевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления сред 4Н,,,,,20110320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630106
2010630107,20101113,2010630069,20100920,"Зимняков Андрей Анатольевич (RU)
Захаров Александр Михайлович (RU)
Труфанов Сергей Иванович (RU)
Карачкин Сергей Вячеславович (RU)",4,Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU),,Статическое оперативное запоминающее устройство 1620РУ10У,,,,,20110320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2010630107
2011630001,20110111,2010630074,20101019,"Зимин Андрей Евгеньевич (RU)
Кривоносов Андрей Борисович (RU)
Шмаков Сергей Иванович (RU)",3,Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU),,Цифровой коррелятор НВП5501Т,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630001
2011630025,20110111,2010630101,20101118,"Белозубов Евгений Михайлович (RU)
Белозубова Нина Евгеньевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления 5Н,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630025
2011630027,20110117,2010630103,20101125,"Пауткин Валерий Евгеньевич (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-33,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630027
2011630035,20110214,2010630111,20101224,"Белозубов Евгений Михайлович (RU)
Белозубова Нина Евгеньевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления 7Н,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630035
2011630040,20110228,2011630003,20110112,Баринов Илья Николаевич (RU),1,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-35,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630040
2011630041,20110228,2011630004,20110112,"Пауткин Валерий Евгеньевич (RU)
Мишанин Александр Евгеньевич (RU)",2,"Акционерное общество ""Научно-исследовательский институт физических измерений"" (RU)",нет,Термокомпенсационный измерительный преобразователь-34,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630041
2011630047,20110314,2011630010,20110125,"Суховирский Дмитрий Михайлович (RU)
Зимняков Андрей Анатольевич (RU)
Захаров Александр Михайлович (RU)
Тихонов Евгений Владимирович (RU)",4,Федеральное государственное унитарное предприятие «Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики» (ФГУП «РФЯЦ-ВНИИЭФ») (RU),,Масочное постоянное запоминающее устройство 1620РЕ4У,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630047
2011630048,20110321,2011630011,20110202,"Белозубов Евгений Михайлович (RU)
Белозубова Нина Евгеньевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления 8Н,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630048
2011630054,20110418,2011630018,20110302,Баринов Илья Николаевич (RU),1,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-36,,,,,20110920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630054
2011630066,20110525,2011630017,20110302,"Белозубов Евгений Михайлович (RU)
Белозубова Нина Евгеньевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления 9Н,,,,,20110620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630066
2011630074,20110704,2011630037,20110512,Долотов Павел Сергеевич (RU),1,Федеральное государственное учреждение «Федеральный научный центр Научно-исследовательский институт системных исследований Российской академии наук» (ФГУ ФНЦ НИИСИ РАН) (RU),,"Самосмещаемый операционный усилитель по технологии КНИ 0,35 мкм.",,,,,20111220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630074
2011630075,20110704,2011630038,20110512,Долотов Павел Сергеевич (RU),1,Федеральное государственное учреждение «Федеральный научный центр Научно-исследовательский институт системных исследований Российской академии наук» (ФГУ ФНЦ НИИСИ РАН) (RU),,"Ячейка памяти DICE по технологии КНИ 0,35 мкм.",,,,,20111220,4,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630075
2011630076,20110727,2011630039,20110527,"Белозубов Евгений Михайлович (RU)
Белозубова Нина Евгеньевна (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тонкопленочный тензорезисторный преобразователь давления 10Н,,,,,20110920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630076
2011630100,20111101,2011630066,20110912,"Белозубов Евгений Михайлович (RU)
Козлова Наталья Анатольевна (RU)
Белозубова Нина Евгеньевна (RU)",3,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Тензорезисторный преобразователь давления на основе тонкопленочной нано-и микроэлектромеханической системы 11Н,,,,,20120320,1,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2011630100
2012630029,20120214,2011630101,20111215,"Мишанин Александр Евгеньевич (RU)
Пауткин Валерий Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-37,,,,,20120620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630029
2012630030,20120214,2011630102,20111219,"Ползунов Иван Владимирович (RU)
Мишанин Александр Евгеньевич (RU)",2,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-38,,,,,20120620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630030
2012630032,20120228,2011630105,20111228,"Пауткин Валерий Евгеньевич (RU)
Шепталина Светлана Владиславовна (RU)
Николаев Александр Александрович (RU)",3,Акционерное общество «Научно-исследовательский институт физических измерений» (RU),нет,Термокомпенсационный измерительный преобразователь-39,,,,,20120620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630032
2012630043,20120330,2012630007,20120209,"Будяков Алексей Сергеевич (RU)
Вагин Алексей Владимирович (RU)
Дроздов Дмитрий Геннадьевич (RU)
Мельничук Станислав Андреевич (RU)
Пронин Андрей Анатольевич (RU)
Савченко Евгений Матвеевич (RU)",6,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,"""Широкополосный пассивный СВЧ смеситель А4505"" (ИМС А4505)",,,,,20120620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630043
2012630044,20120330,2012630008,20120209,"Володин Виталий Александрович (RU)
Шумков Илья Евгеньевич (RU)
Володин Павел Витальевич (RU)
Ростанин Андрей Николаевич (RU)
Христьяновский Анатолий Григорьевич (RU)
Харченко Ирина Васильевна (RU)",6,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,"""Высоковольтная интегральная микросхема А4533 для управления силовыми транзисторами с изолированным затвором"" (ИМС А4533)",,,,,20120620,2,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630044
2012630045,20120409,2012630009,20120216,Савченко Евгений Матвеевич (RU),1,Открытое акционерное общество «Научно-производственное предприятие «Пульсар» (RU),,"""Операционный усилитель с токовой обратной связью с высоким уровнем динамической точности А4509"" (ИМС 4509)",,,,,20120920,3,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=TIMS&DocNumber=2012630045
